Date,Time,Today (min),Average (min)
2024-10-26,Midnight,5,13
2024-10-26,1:00 AM,5,9
2024-10-26,2:00 AM,5,9
2024-10-26,3:00 AM,5,12
2024-10-26,4:00 AM,20,24
2024-10-26,5:00 AM,35,34
2024-10-26,6:00 AM,35,47
2024-10-26,7:00 AM,40,54
2024-10-26,8:00 AM,40,62
2024-10-26,9:00 AM,30,65
2024-10-26,10:00 AM,40,75
2024-10-26,11:00 AM,,89
2024-10-26,Noon,,100
2024-10-26,1:00 PM,,109
2024-10-26,2:00 PM,,116
2024-10-26,3:00 PM,,122
2024-10-26,4:00 PM,,118
2024-10-26,5:00 PM,,119
2024-10-26,6:00 PM,,114
2024-10-26,7:00 PM,,108
2024-10-26,8:00 PM,,104
2024-10-26,9:00 PM,,93
2024-10-26,10:00 PM,,84
2024-10-26,11:00 PM,,103
2024-10-27,Midnight,43,103
2024-10-27,1:00 AM,43,103
2024-10-27,2:00 AM,43,103
